epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.50288,0.88994,3.00019,1.28108,0.00513,1,0.02227,0.01329,0.63483,2.80235,0.98933,0,0,0
2,2.1417,0.83881,2.94374,1.30897,0.00513,1,0.02319,0.01425,0.62608,2.79285,0.98672,1.9901e-05,1.9901e-05,1.9901e-05
3,2.66841,0.77609,3.06737,1.22826,0.00513,1,0.02285,0.01288,0.58712,2.77662,0.9717,3.9604e-05,3.9604e-05,3.9604e-05
4,3.39897,0.84663,2.92324,1.15232,0.00513,1,0.0243,0.01364,0.57327,2.77884,0.96973,5.9109e-05,5.9109e-05,5.9109e-05
5,3.91064,0.70904,2.80917,1.16136,0.00513,1,0.03653,0.0228,0.55605,2.76165,0.9489,7.8416e-05,7.8416e-05,7.8416e-05
6,4.48568,0.65822,2.70775,1.09819,0.00513,1,0.17252,0.11087,0.54092,2.75652,0.93137,9.7525e-05,9.7525e-05,9.7525e-05
7,5.0374,0.71539,2.82257,1.25311,0.00513,1,0.23833,0.16687,0.56235,2.75721,0.95545,0.000116436,0.000116436,0.000116436
8,5.56267,0.62638,2.64128,1.06334,0.00513,1,0.31504,0.24101,0.57145,2.7516,0.97283,0.000135149,0.000135149,0.000135149
9,6.11208,0.52924,2.43106,0.96353,0.00513,1,0.44535,0.32685,0.56562,2.72214,0.94939,0.000153664,0.000153664,0.000153664
10,6.68893,0.63216,2.44616,1.03141,0.00513,1,0.53562,0.4204,0.55892,2.70268,0.94072,0.000171981,0.000171981,0.000171981
11,7.26419,0.47828,2.34574,0.91698,0.00513,1,0.55174,0.4215,0.55829,2.7001,0.93718,0.0001901,0.0001901,0.0001901
12,7.95912,0.5923,2.38412,0.96609,0.00513,1,0.63813,0.48699,0.5702,2.67089,0.92948,0.000208021,0.000208021,0.000208021
13,8.52552,0.7427,2.56484,1.17829,0.00513,1,0.63065,0.4952,0.60951,2.65391,0.9385,0.000225744,0.000225744,0.000225744
14,9.0722,0.63909,2.27309,1.046,0.00513,1,0.6341,0.49991,0.62083,2.64485,0.93383,0.000243269,0.000243269,0.000243269
15,9.62032,0.70781,2.23327,1.05153,0.00513,1,0.69438,0.5509,0.64649,2.63304,0.95476,0.000260596,0.000260596,0.000260596
16,10.1431,0.54667,2.26596,1.00319,0.00513,1,0.70194,0.55124,0.69062,2.61881,0.97696,0.000277725,0.000277725,0.000277725
17,10.695,0.71504,1.97955,1.01538,0.00513,1,0.71108,0.55664,0.69455,2.59601,0.97851,0.000294656,0.000294656,0.000294656
18,11.2015,0.67074,2.07918,0.9834,0.00513,1,0.71108,0.55664,0.69455,2.59601,0.97851,0.000311389,0.000311389,0.000311389
19,11.8991,0.62172,1.95357,0.96682,0.00513,1,0.70655,0.56506,0.67887,2.57461,0.97002,0.000327924,0.000327924,0.000327924
20,12.4056,0.55673,1.72497,1.01436,0.00513,1,0.70655,0.56506,0.67887,2.57461,0.97002,0.000344261,0.000344261,0.000344261
21,12.9365,0.63622,1.8881,0.99137,0.00513,1,0.65002,0.52321,0.66651,2.54387,0.96919,0.0003604,0.0003604,0.0003604
22,13.3833,0.68384,1.64564,1.10779,0.00513,1,0.65002,0.52321,0.66651,2.54387,0.96919,0.000376341,0.000376341,0.000376341
23,13.8716,0.58894,1.74432,1.04005,0.00513,1,0.60606,0.47807,0.67805,2.5433,0.96624,0.000392084,0.000392084,0.000392084
24,14.3551,0.533,1.48397,0.96188,0.00513,1,0.60606,0.47807,0.67805,2.5433,0.96624,0.000407629,0.000407629,0.000407629
25,14.8621,0.76867,1.58891,1.12618,0.00513,1,0.56462,0.44732,0.7396,2.54544,1.01118,0.000422976,0.000422976,0.000422976
26,15.3494,0.83687,1.70053,1.19383,0.00513,1,0.56462,0.44732,0.7396,2.54544,1.01118,0.000438125,0.000438125,0.000438125
27,16.0186,0.79179,1.79029,1.0508,0.00513,1,0.50987,0.38395,0.81644,2.54433,1.0788,0.000453076,0.000453076,0.000453076
28,16.4981,0.70627,1.56843,1.03895,0.00513,1,0.50987,0.38395,0.81644,2.54433,1.0788,0.000467829,0.000467829,0.000467829
29,16.9918,0.67098,1.4932,0.97991,0.00513,1,0.51225,0.39051,0.80209,2.53472,1.07317,0.000482384,0.000482384,0.000482384
30,17.4578,0.81797,1.56901,1.08461,0.00513,1,0.51225,0.39051,0.80209,2.53472,1.07317,0.000496741,0.000496741,0.000496741
31,17.9719,0.57394,1.49839,0.93873,0.00513,1,0.49793,0.36925,0.78519,2.58007,1.03289,0.0005109,0.0005109,0.0005109
32,18.4524,0.53347,1.40798,0.87971,0.00513,1,0.49793,0.36925,0.78519,2.58007,1.03289,0.000524861,0.000524861,0.000524861
33,18.9684,0.81099,1.82904,1.09959,0.00843,1,0.51015,0.35129,0.86964,2.5608,1.12522,0.000538624,0.000538624,0.000538624
34,19.4588,0.6401,1.37805,1.0724,0.00843,1,0.51015,0.35129,0.86964,2.5608,1.12522,0.000552189,0.000552189,0.000552189
35,20.1386,0.70677,1.44247,1.03487,0.00885,1,0.48706,0.34177,0.951,2.59699,1.22691,0.000565556,0.000565556,0.000565556
36,20.6037,0.76714,1.39403,1.08961,0.00885,1,0.48706,0.34177,0.951,2.59699,1.22691,0.000578725,0.000578725,0.000578725
37,21.1441,0.61076,1.35873,1.06651,0.00869,1,0.40748,0.27766,0.9623,2.66392,1.21841,0.000591696,0.000591696,0.000591696
38,21.6267,0.6882,1.40778,1.01212,0.00869,1,0.40748,0.27766,0.9623,2.66392,1.21841,0.000604469,0.000604469,0.000604469
39,22.1338,0.8389,1.57072,1.17616,0.32191,0.25,0.29205,0.20111,0.9806,2.73091,1.22448,0.000617044,0.000617044,0.000617044
40,22.6329,0.67283,1.36302,0.9717,0.32191,0.25,0.29205,0.20111,0.9806,2.73091,1.22448,0.000629421,0.000629421,0.000629421
41,23.1369,0.69934,1.3066,0.98615,0.19848,0.06336,0.30877,0.20385,0.99727,2.71124,1.20099,0.0006416,0.0006416,0.0006416
42,23.7789,0.7048,1.36372,1.08029,0.19848,0.06336,0.30877,0.20385,0.99727,2.71124,1.20099,0.000653581,0.000653581,0.000653581
43,24.2956,0.70448,1.3313,1.00346,0.49356,0.25,0.32654,0.22899,1.016,2.62549,1.18678,0.000665364,0.000665364,0.000665364
44,24.7874,0.67288,1.22346,1.02962,0.49356,0.25,0.32654,0.22899,1.016,2.62549,1.18678,0.000676949,0.000676949,0.000676949
45,25.3034,0.70728,1.17123,1.06747,0.47227,0.4,0.39853,0.27779,1.04628,2.47765,1.18185,0.000688336,0.000688336,0.000688336
46,25.7728,0.64018,1.19117,1.00621,0.47227,0.4,0.39853,0.27779,1.04628,2.47765,1.18185,0.000699525,0.000699525,0.000699525
47,26.2914,0.69038,1.14378,1.12041,0.41404,0.45,0.48438,0.35621,0.95932,2.31694,1.15515,0.000710516,0.000710516,0.000710516
48,26.7814,0.57564,1.14005,1.00663,0.41404,0.45,0.48438,0.35621,0.95932,2.31694,1.15515,0.000721309,0.000721309,0.000721309
49,27.3052,0.65185,1.10021,0.97267,0.42573,0.63054,0.50149,0.36951,0.97872,2.22993,1.17439,0.000731904,0.000731904,0.000731904
50,27.9489,0.74014,1.28008,1.07829,0.42573,0.63054,0.50149,0.36951,0.97872,2.22993,1.17439,0.000742301,0.000742301,0.000742301
51,28.4551,0.89717,1.92171,1.21116,0.54904,0.75,0.58452,0.42004,0.94823,2.20846,1.2013,0.0007525,0.0007525,0.0007525
52,28.9248,0.65811,1.11475,1.00794,0.54904,0.75,0.58452,0.42004,0.94823,2.20846,1.2013,0.000762501,0.000762501,0.000762501
53,29.4194,0.71314,1.15895,1.07683,0.54904,0.75,0.58452,0.42004,0.94823,2.20846,1.2013,0.000772304,0.000772304,0.000772304
54,29.9426,0.68308,1.12502,1.00609,0.46408,0.5,0.53949,0.37688,0.94013,2.28632,1.26662,0.000781909,0.000781909,0.000781909
55,30.4201,0.61514,1.27334,0.98876,0.46408,0.5,0.53949,0.37688,0.94013,2.28632,1.26662,0.000791316,0.000791316,0.000791316
56,30.9034,0.62498,1.18022,1.04344,0.46408,0.5,0.53949,0.37688,0.94013,2.28632,1.26662,0.000800525,0.000800525,0.000800525
57,31.406,0.71613,1.20495,1.1071,0.43686,0.3,0.40934,0.2878,0.96125,2.49576,1.25512,0.000809536,0.000809536,0.000809536
58,31.8978,0.73787,1.3024,1.0807,0.43686,0.3,0.40934,0.2878,0.96125,2.49576,1.25512,0.000818349,0.000818349,0.000818349
